,M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M1M2,M1M3,M1M4,M1M5,M1M6,M1M7,M1M8,M2M2,M2M3,M2M4,M2M5,M2M6,M2M7,M2M8,M3M3,M3M4,M3M5,M3M6,M3M7,M3M8,M4M4,M4M5,M4M6,M4M7,M4M8,M5M5,M5M6,M5M7,M5M8,M6M6,M6M7,M6M8,M7M7,M7M8,M8M8
109,170.19079080307918,-113.53669390352582,-5088.8706351649635,-3919.1334251925555,10.811885963322254,-8.349174747183914,-30.980749899027874,-2733.692933320508,12890.580862542916,577773.5476193655,444965.45206316386,-1227.545787137546,947.9376976180677,3517.4519181876162,310374.45779664215,-1463553.9336291829,25896604.341444258,19943963.00275588,-55020.28898950287,42487.87019880508,157657.02841655284,13911409.693932706,-65598498.421614096,15359606.804461531,-42373.223668226456,32721.529824462083,121417.69246681103,10713707.349189086,-50519906.32853942,116.89687808388479,-90.2703252544024,-334.9603349664968,-29556.376253801238,139371.49028679825,69.70871895901358,258.6636947057841,22824.080005434706,-107625.71221407555,959.8068643061156,84691.85706794255,-399359.8617556371,7473077.053686484,-35238889.81033015,166167074.97375768
110,170.19079080307918,-129.59300724373017,-5088.8706351649635,-3919.1334251925555,10.811885963322254,-7.096376628990735,-30.980749899027874,-2733.692933320508,16794.3475264735,659482.0490853388,507892.2863601239,-1401.1448159632055,919.6407878850339,4014.888546080912,354267.48810993857,-2176430.000652002,25896604.341444258,19943963.00275588,-55020.28898950287,36112.54264334188,157657.02841655284,13911409.693932706,-85464261.96422632,15359606.804461531,-42373.223668226456,27811.64684443286,121417.69246681103,10713707.349189086,-65819288.74530221,116.89687808388479,-76.72521486543303,-334.9603349664968,-29556.376253801238,181578.57028463465,50.358561260485914,219.8510695320685,19399.31464285278,-119179.0152860149,959.8068643061156,84691.85706794255,-520301.48043503286,7473077.053686484,-45910589.152849354,282050108.83996654
111,170.19079080307918,-113.53669390352582,-5088.8706351649635,-3919.1334251925555,10.811885963322254,-7.096376628990735,-30.980749899027874,-2733.692933320508,12890.580862542916,577773.5476193655,444965.45206316386,-1227.545787137546,805.6991411498554,3517.4519181876162,310374.45779664215,-1463553.9336291829,25896604.341444258,19943963.00275588,-55020.28898950287,36112.54264334188,157657.02841655284,13911409.693932706,-65598498.421614096,15359606.804461531,-42373.223668226456,27811.64684443286,121417.69246681103,10713707.349189086,-50519906.32853942,116.89687808388479,-76.72521486543303,-334.9603349664968,-29556.376253801238,139371.49028679825,50.358561260485914,219.8510695320685,19399.31464285278,-91476.41676706479,959.8068643061156,84691.85706794255,-399359.8617556371,7473077.053686484,-35238889.81033015,166167074.97375768
112,138.16112808329135,-103.45306575538692,-1793.8959695724045,-1542.0867500556917,134.43858379363508,-110.0671421518314,-15563.171613374385,-1692.204811206403,10702.536814188408,185584.03769849753,159533.6019540224,-13908.083649264023,11386.783294540934,1610057.8162807913,175063.7756053181,-1107210.2447876825,3218062.7496481175,2766343.2056559133,-241168.83362242393,197449.00268852327,27918710.830995966,3035639.390514198,-19199237.65517287,2378031.544697325,-207315.9587644165,169733.08152883552,23999760.7338275,2609526.6177418875,-16504240.2131432,18073.73281243824,-14797.27071310493,-2092290.751039355,-227497.61830736444,1438833.8922987324,12114.775781471462,1712993.8223026257,186256.1475050682,-1177997.6409124844,242212310.66734225,26336073.881783053,-166565417.13767135,2863557.1230700985,-18110884.289083272,114544294.25905816
113,138.16112808329135,-93.91997436360074,-1793.8959695724045,-1542.0867500556917,134.43858379363508,-110.0671421518314,-15563.171613374385,-1692.204811206403,8820.961584459421,168482.66347320692,144832.74803167896,-12626.468343376997,10337.503169174804,1461692.678944441,158931.8324864672,-828464.4858747359,3218062.7496481175,2766343.2056559133,-241168.83362242393,197449.00268852327,27918710.830995966,3035639.390514198,-15823887.434114767,2378031.544697325,-207315.9587644165,169733.08152883552,23999760.7338275,2609526.6177418875,-13602687.982145132,18073.73281243824,-14797.27071310493,-2092290.751039355,-227497.61830736444,1185877.583112784,12114.775781471462,1712993.8223026257,186256.1475050682,-970898.032632539,242212310.66734225,26336073.881783053,-137282138.9339248,2863557.1230700985,-14926873.632689089,77809363.27450886
114,138.16112808329135,-103.45306575538692,-1793.8959695724045,-1542.0867500556917,134.43858379363508,-81.98797755336156,-15563.171613374385,-1692.204811206403,10702.536814188408,185584.03769849753,159533.6019540224,-13908.083649264023,8481.9076329791,1610057.8162807913,175063.7756053181,-1107210.2447876825,3218062.7496481175,2766343.2056559133,-241168.83362242393,147077.90248636808,27918710.830995966,3035639.390514198,-19199237.65517287,2378031.544697325,-207315.9587644165,126432.57384890234,23999760.7338275,2609526.6177418875,-16504240.2131432,18073.73281243824,-11022.34759037827,-2092290.751039355,-227497.61830736444,1438833.8922987324,6722.028463290519,1275992.9648964528,138740.450076881,-877479.348085705,242212310.66734225,26336073.881783053,-166565417.13767135,2863557.1230700985,-18110884.289083272,114544294.25905816
115,138.16112808329135,-93.91997436360074,-1793.8959695724045,-1542.0867500556917,134.43858379363508,-81.98797755336156,-15563.171613374385,-1692.204811206403,8820.961584459421,168482.66347320692,144832.74803167896,-12626.468343376997,7700.308749935191,1461692.678944441,158931.8324864672,-828464.4858747359,3218062.7496481175,2766343.2056559133,-241168.83362242393,147077.90248636808,27918710.830995966,3035639.390514198,-15823887.434114767,2378031.544697325,-207315.9587644165,126432.57384890234,23999760.7338275,2609526.6177418875,-13602687.982145132,18073.73281243824,-11022.34759037827,-2092290.751039355,-227497.61830736444,1185877.583112784,6722.028463290519,1275992.9648964528,138740.450076881,-723212.8003857236,242212310.66734225,26336073.881783053,-137282138.9339248,2863557.1230700985,-14926873.632689089,77809363.27450886
116,48.38670431374993,-38.48677246752709,-1216.2807316802262,-677.9040720868011,33.24223607363202,-25.121916919304105,-149.81294878991054,-1318.2593975510767,1481.2316549672012,46810.71977681423,26090.339777214795,-1279.3863760776967,966.8615004213761,5765.816872766574,50735.54948672763,-57007.825676421264,1479338.8182565863,824521.6608067392,-40431.891214323965,30555.30349182105,182214.60296936464,1603373.5045977577,-1801593.5210914197,459553.9309518668,-22535.0471995859,17030.24977822256,101558.80803601175,893653.4136665681,-1004132.9706061372,1105.046259175082,-835.1086928536776,-4980.117410561151,-43821.89009967682,49239.452354156354,631.1107097004178,3763.588452936093,33117.203063370034,-37211.37857432935,22443.919625128357,197492.32761713778,-221907.68207159574,1737807.8392317279,-1952647.549110647,2194047.2156768735
117,48.38670431374993,-30.63709083782996,-1216.2807316802262,-677.9040720868011,33.24223607363202,-25.121916919304105,-149.81294878991054,-1318.2593975510767,938.6313350054444,37263.30326078938,20769.008635858154,-1018.4454062404521,769.6624506771373,4589.832920759657,40387.632910595334,-28756.9334737954,1479338.8182565863,824521.6608067392,-40431.891214323965,30555.30349182105,182214.60296936464,1603373.5045977577,-1141639.2069184093,459553.9309518668,-22535.0471995859,17030.24977822256,101558.80803601175,893653.4136665681,-636302.0041884611,1105.046259175082,-835.1086928536776,-4980.117410561151,-43821.89009967682,31202.204424359366,631.1107097004178,3763.588452936093,33117.203063370034,-23580.218415862273,22443.919625128357,197492.32761713778,-140619.128123776,1737807.8392317279,-1237359.57820684,881028.7830541028
118,48.38670431374993,-38.48677246752709,-1216.2807316802262,-677.9040720868011,33.24223607363202,-22.366991757313066,-149.81294878991054,-1318.2593975510767,1481.2316549672012,46810.71977681423,26090.339777214795,-1279.3863760776967,860.8333225467619,5765.816872766574,50735.54948672763,-57007.825676421264,1479338.8182565863,824521.6608067392,-40431.891214323965,27204.541100070324,182214.60296936464,1603373.5045977577,-1801593.5210914197,459553.9309518668,-22535.0471995859,15162.674792614442,101558.80803601175,893653.4136665681,-1004132.9706061372,1105.046259175082,-743.5288202535825,-4980.117410561151,-43821.89009967682,49239.452354156354,500.28232027171066,3350.8649907226936,29485.497079025423,-33130.69621732258,22443.919625128357,197492.32761713778,-221907.68207159574,1737807.8392317279,-1952647.549110647,2194047.2156768735
